,City,Country,Lat,Lng,Cloudiness,Wind Speed,Humidity,Maximum Temp,Date
0,Ushuaia,AR,-54.8,-68.3,75,5.75,93,37.4,1619829611
1,Harper,LR,4.375,-7.7169,100,5.3,77,81.03,1619829823
2,Tigil',RU,57.8,158.6667,91,6.98,74,41.31,1619829823
3,Port Alfred,ZA,-33.5906,26.891,1,13.2,84,58.93,1619829823
4,Rikitea,PF,-23.1203,-134.9692,94,19.75,78,79.0,1619829824
5,Vaini,TO,-21.2,-175.2,75,13.8,94,77.0,1619829824
6,Teya,RU,60.3778,92.6267,100,11.01,96,35.51,1619829825
7,Ipixuna,BR,-1.7625,-48.8043,75,9.22,94,73.4,1619829825
8,Albany,US,42.6001,-73.9662,54,4.0,65,46.99,1619829725
9,Catuday,PH,16.2923,119.8062,28,1.28,67,82.51,1619829825
10,Mount Gambier,AU,-37.8333,140.7667,100,12.66,51,60.8,1619829826
11,Ribeira Grande,PT,38.5167,-28.7,100,10.89,77,60.06,1619829826
12,Krasnosel'kup,RU,65.7,82.4667,100,11.92,92,31.24,1619829826
13,Tamandaré,BR,-8.7597,-35.1047,84,10.02,79,77.38,1619829827
14,Yellowknife,CA,62.456,-114.3525,90,6.91,86,33.8,1619829827
15,Naze,JP,28.3667,129.4833,75,21.85,78,75.2,1619829828
16,Busselton,AU,-33.65,115.3333,100,1.01,97,55.99,1619829828
17,Mackay,AU,-21.15,149.2,40,16.11,78,78.01,1619829828
18,Shebalino,RU,51.2917,85.6772,100,4.72,98,37.22,1619829829
19,Nauta,PE,-4.5061,-73.5757,99,1.3,97,71.98,1619829829
20,Wainwright,CA,52.839,-110.8572,73,10.36,21,69.8,1619829830
21,Marsh Harbour,BS,26.5412,-77.0636,98,4.41,72,77.58,1619829830
22,Kaitangata,NZ,-46.2817,169.8464,94,8.01,53,59.0,1619829830
23,Punta Arenas,CL,-53.15,-70.9167,90,5.75,100,42.8,1619829630
24,Nikolskoye,RU,59.7035,30.7861,0,4.47,80,34.0,1619829831
25,Hilo,US,19.7297,-155.09,1,12.66,51,84.2,1619829804
26,Wattegama,LK,6.7989,81.4808,20,2.3,100,75.2,1619829832
27,Castro,BR,-24.7911,-50.0119,84,6.58,94,51.6,1619829832
28,Katangli,RU,51.7102,143.2326,100,16.87,86,35.2,1619829832
29,Bluff,NZ,-46.6,168.3333,85,5.01,74,54.0,1619829833
30,Mahébourg,MU,-20.4081,57.7,75,13.8,78,77.0,1619829833
31,Trat,TH,12.5,102.5,42,1.83,99,84.99,1619829834
32,Barrow,US,71.2906,-156.7887,90,4.61,79,21.2,1619829834
33,Saskylakh,RU,71.9167,114.0833,100,7.23,92,31.96,1619829834
34,Qeshm,IR,26.9581,56.2719,40,4.61,68,75.2,1619829835
35,Hilton Head,US,32.2163,-80.7526,75,9.22,34,80.6,1619829835
36,Arraial do Cabo,BR,-22.9661,-42.0278,28,9.28,64,72.19,1619829836
37,Chelyabinsk,RU,55.1544,61.4297,0,2.24,64,30.2,1619829562
38,Airai,TL,-8.9266,125.4092,74,3.89,52,70.56,1619829836
39,Waipawa,NZ,-41.4122,175.5153,90,18.41,67,57.0,1619829837
40,Hithadhoo,MV,-0.6,73.0833,98,6.73,72,83.91,1619829837
41,Lebu,CL,-37.6167,-73.65,100,21.85,92,56.43,1619829838
42,Dikson,RU,73.5069,80.5464,99,7.61,96,16.39,1619829838
43,Susanville,US,40.4163,-120.653,1,12.66,8,80.6,1619829838
44,Kapaa,US,22.0752,-159.319,90,8.05,78,75.99,1619829839
45,Mataura,NZ,-46.1927,168.8643,48,5.01,74,54.0,1619829839
46,Jamestown,US,42.097,-79.2353,90,14.97,56,41.0,1619829840
47,Cayenne,GF,4.9333,-52.3333,75,10.47,100,78.01,1619829840
48,Namatanai,PG,-3.6667,152.4333,59,0.81,66,84.92,1619829841
49,Thompson,CA,55.7435,-97.8558,90,5.75,100,32.0,1619829580
50,Laguna,US,38.421,-121.4238,1,8.05,18,84.2,1619829842
51,Ponta do Sol,PT,32.6667,-17.1,100,3.0,57,59.0,1619829842
52,Bonavista,CA,48.6499,-53.1147,100,1.14,81,39.2,1619829843
53,Menongue,AO,-14.6585,17.691,93,1.52,89,61.77,1619829843
54,San Quintín,MX,30.4833,-115.95,0,13.15,59,69.82,1619829844
55,Eyl,SO,7.9803,49.8164,100,4.18,74,82.11,1619829844
56,Vitim,RU,59.4511,112.5578,100,2.39,78,37.94,1619829845
57,Cidreira,BR,-30.1811,-50.2056,0,17.31,72,68.83,1619829845
58,Constitución,CL,-35.3333,-72.4167,100,11.25,85,57.0,1619829845
59,Codrington,AU,-38.2667,141.9667,100,15.32,41,70.32,1619829846
60,Shahr-e Bābak,IR,30.1165,55.1186,99,3.0,58,57.33,1619829846
61,Porto Walter,BR,-8.2686,-72.7439,11,0.65,82,71.8,1619829846
62,Cape Town,ZA,-33.9258,18.4232,0,9.22,82,57.99,1619829585
63,Qaanaaq,GL,77.484,-69.3632,100,7.2,60,29.93,1619829847
64,Zhanakorgan,KZ,43.9098,67.2495,100,17.11,44,55.35,1619829848
65,Saint-Augustin,CA,51.226,-58.6502,100,18.32,83,39.76,1619829848
66,Camaná,PE,-16.6228,-72.7111,63,6.76,82,66.72,1619829848
67,Reshetylivka,UA,49.565,34.0782,100,8.05,83,53.85,1619829849
68,Tongliao,CN,43.6125,122.2653,100,12.75,25,53.56,1619829849
69,Leningradskiy,RU,69.3833,178.4167,100,23.94,92,19.17,1619829850
70,Salinas,US,36.6777,-121.6555,20,17.27,63,61.0,1619829644
71,Atasū,KZ,48.6814,71.6433,3,7.58,50,44.29,1619829850
72,Tuktoyaktuk,CA,69.4541,-133.0374,20,10.36,80,23.0,1619829851
73,Adrar,MR,20.5022,-10.0711,100,3.33,42,77.99,1619829851
74,Río Gallegos,AR,-51.6226,-69.2181,0,11.5,93,41.0,1619829696
75,Fortuna,US,40.5982,-124.1573,20,12.66,94,60.01,1619829852
76,Avera,US,33.194,-82.5271,1,5.75,46,69.8,1619829852
77,Inírida,CO,3.8653,-67.9239,87,2.68,99,70.95,1619829852
78,Bud,US,39.447,-86.1758,1,10.36,43,53.6,1619829853
79,Sørland,NO,67.667,12.6934,100,11.83,60,35.6,1619829853
80,Batagay-Alyta,RU,67.8006,130.4114,100,4.41,87,28.02,1619829853
81,Sergeevka,KZ,53.88,67.4158,6,8.32,61,39.02,1619829854
82,Tivaouane,SN,14.9515,-16.8129,0,16.11,88,68.0,1619829854
83,Hong Kong,HK,22.2855,114.1577,98,2.55,83,78.01,1619829682
84,Bechem,GH,7.0903,-2.025,61,3.56,91,73.44,1619829855
85,Puerto Ayora,EC,-0.7393,-90.3518,1,7.85,81,74.68,1619829855
86,Guerrero Negro,MX,27.9769,-114.0611,0,17.83,43,74.23,1619829856
87,Ahipara,NZ,-35.1667,173.1667,21,12.95,62,65.89,1619829856
88,Faya,SA,18.3851,42.4509,20,4.61,48,64.4,1619829856
89,Klaksvík,FO,62.2266,-6.589,75,8.75,87,35.6,1619829857
90,Atambua,ID,-9.1061,124.8925,50,2.73,64,80.69,1619829857
91,Carnarvon,AU,-24.8667,113.6333,100,10.36,55,64.4,1619829857
92,Beringovskiy,RU,63.05,179.3167,98,14.09,74,24.48,1619829858
93,Inhambane,MZ,-23.865,35.3833,100,7.18,80,72.28,1619829858
94,Mutoko,ZW,-17.397,32.2268,98,3.47,93,58.89,1619829858
95,Baião,BR,-2.7906,-49.6717,100,4.27,99,73.13,1619829859
96,Hobart,AU,-42.8794,147.3294,75,11.5,55,63.0,1619829859
97,Port Hardy,CA,50.6996,-127.4199,75,2.3,87,51.8,1619829860
98,Parker,US,32.7668,-97.8003,100,3.0,94,64.99,1619829834
99,Joshīmath,IN,30.5667,79.5667,13,6.69,60,56.84,1619829860
100,Les Cayes,HT,18.2,-73.75,63,3.76,82,76.57,1619829861
101,Port Lincoln,AU,-34.7333,135.8667,99,19.19,36,74.21,1619829861
102,Mar del Plata,AR,-38.0023,-57.5575,0,10.36,77,63.0,1619829748
103,Nome,US,64.5011,-165.4064,75,11.5,68,27.0,1619829841
104,Alice Springs,AU,-23.7,133.8833,100,2.3,27,73.99,1619829722
105,Grindavik,IS,63.8424,-22.4338,20,21.85,75,33.8,1619829862
106,Yangi Marg`ilon,UZ,40.4272,71.7189,53,4.61,55,64.4,1619829863
107,Hermanus,ZA,-34.4187,19.2345,0,1.99,82,53.01,1619829863
108,Byron Bay,AU,-28.65,153.6167,40,12.66,68,71.6,1619829864
109,Chupa,RU,66.27,33.0549,21,7.11,78,24.35,1619829864
110,Ilulissat,GL,69.2167,-51.1,99,4.27,52,37.4,1619829864
111,Camacha,PT,33.0833,-16.3333,20,6.91,72,60.8,1619829865
112,Fairbanks,US,64.8378,-147.7164,90,12.66,51,37.99,1619829776
113,Makkah al Mukarramah,SA,21.4267,39.8261,99,3.87,52,84.13,1619829658
114,Kahului,US,20.8947,-156.47,40,17.27,69,80.6,1619829865
115,Auki,SB,-8.7676,160.7034,90,1.23,63,85.57,1619829866
116,Chaumont-Gistoux,BE,50.6775,4.7212,4,3.44,87,39.2,1619829866
117,Atuona,PF,-9.8,-139.0333,0,3.47,68,79.41,1619829867
118,Sosnytsya,UA,51.5239,32.4999,95,5.97,94,51.82,1619829867
119,Hasaki,JP,35.7333,140.8333,75,8.05,72,70.0,1619829867
120,Kruisfontein,ZA,-34.0033,24.7314,0,6.62,70,52.07,1619829868
121,Hualmay,PE,-11.0964,-77.6139,17,7.76,88,66.51,1619829868
122,Arawa,PG,-6.2132,155.5367,38,4.7,71,85.14,1619829868
123,Bilibino,RU,68.0546,166.4372,80,2.26,74,16.74,1619829869
124,Bethel,US,41.3712,-73.414,90,18.41,40,53.6,1619829657
125,Lata,PT,40.1629,-8.3327,41,2.73,82,54.0,1619829869
126,Kenai,US,60.5544,-151.2583,1,10.36,36,46.4,1619829870
127,Yeniseysk,RU,58.4497,92.1703,8,8.19,84,41.81,1619829870
128,Sitka,US,57.0531,-135.33,90,6.91,87,46.4,1619829871
129,Mugur-Aksy,RU,50.35,90.5,100,7.34,68,45.39,1619829871
130,Saint-Philippe,RE,-21.3585,55.7679,0,6.91,78,73.4,1619829872
131,Amapá,BR,1.0,-52.0,100,2.84,98,72.48,1619829872
132,Huamachuco,PE,-7.8,-78.0667,97,1.79,89,50.83,1619829872
133,Maragogi,BR,-9.0122,-35.2225,82,10.45,82,76.89,1619829873
134,Esperance,AU,-33.8667,121.9,90,6.91,94,55.4,1619829640
135,Norman Wells,CA,65.282,-126.8329,20,12.66,31,48.2,1619829873
136,Saint George,US,37.1041,-113.5841,1,4.61,9,93.0,1619829874
137,Nanortalik,GL,60.1432,-45.2371,55,10.6,72,37.65,1619829874
138,São Filipe,CV,14.8961,-24.4956,41,7.87,76,72.68,1619829874
139,Westport,US,41.1415,-73.3579,3,1.99,48,54.0,1619829875
140,Longyearbyen,SJ,78.2186,15.6401,20,19.57,62,12.2,1619829822
141,Martinsburg,US,39.4562,-77.9639,20,18.41,50,52.0,1619829732
142,Pedersore,FI,63.65,22.6833,0,3.44,93,30.99,1619829875
143,Cabo San Lucas,MX,22.8909,-109.9124,1,14.97,32,81.0,1619829876
144,Mossamedes,AO,-15.1961,12.1522,5,5.53,75,74.98,1619829876
145,East London,ZA,-33.0153,27.9116,65,12.17,75,61.57,1619829876
146,Bariloche,AR,-41.1456,-71.3082,90,13.8,81,50.0,1619829625
147,Borogontsy,RU,62.6683,131.1683,97,5.57,84,40.35,1619829877
148,Husavik,IS,66.0449,-17.3389,90,6.91,93,32.0,1619829877
149,Coahuayana Viejo,MX,18.7333,-103.6833,40,11.5,48,84.2,1619829878
150,Coyhaique,CL,-45.5752,-72.0662,75,4.61,87,50.0,1619829878
151,Makakilo City,US,21.3469,-158.0858,90,11.5,61,84.2,1619829879
