City,Country,Lat,Lng,Cloudiness,Wind Speed,Humidity,Maximum Temp,Date
Ushuaia,AR,-54.8,-68.3,75,5.75,93,37.4,1619829611
Harper,LR,4.375,-7.7169,100,5.3,77,81.03,1619829823
Tigil',RU,57.8,158.6667,91,6.98,74,41.31,1619829823
Port Alfred,ZA,-33.5906,26.891,1,13.2,84,58.93,1619829823
Rikitea,PF,-23.1203,-134.9692,94,19.75,78,79,1619829824
Vaini,TO,-21.2,-175.2,75,13.8,94,77,1619829824
Teya,RU,60.3778,92.6267,100,11.01,96,35.51,1619829825
Ipixuna,BR,-1.7625,-48.8043,75,9.22,94,73.4,1619829825
Albany,US,42.6001,-73.9662,54,4,65,46.99,1619829725
Catuday,PH,16.2923,119.8062,28,1.28,67,82.51,1619829825
Mount Gambier,AU,-37.8333,140.7667,100,12.66,51,60.8,1619829826
Ribeira Grande,PT,38.5167,-28.7,100,10.89,77,60.06,1619829826
Krasnosel'kup,RU,65.7,82.4667,100,11.92,92,31.24,1619829826
Tamandaré,BR,-8.7597,-35.1047,84,10.02,79,77.38,1619829827
Yellowknife,CA,62.456,-114.3525,90,6.91,86,33.8,1619829827
Naze,JP,28.3667,129.4833,75,21.85,78,75.2,1619829828
Busselton,AU,-33.65,115.3333,100,1.01,97,55.99,1619829828
Mackay,AU,-21.15,149.2,40,16.11,78,78.01,1619829828
Shebalino,RU,51.2917,85.6772,100,4.72,98,37.22,1619829829
Nauta,PE,-4.5061,-73.5757,99,1.3,97,71.98,1619829829
Wainwright,CA,52.839,-110.8572,73,10.36,21,69.8,1619829830
Marsh Harbour,BS,26.5412,-77.0636,98,4.41,72,77.58,1619829830
Kaitangata,NZ,-46.2817,169.8464,94,8.01,53,59,1619829830
Punta Arenas,CL,-53.15,-70.9167,90,5.75,100,42.8,1619829630
Nikolskoye,RU,59.7035,30.7861,0,4.47,80,34,1619829831
Hilo,US,19.7297,-155.09,1,12.66,51,84.2,1619829804
Wattegama,LK,6.7989,81.4808,20,2.3,100,75.2,1619829832
Castro,BR,-24.7911,-50.0119,84,6.58,94,51.6,1619829832
Katangli,RU,51.7102,143.2326,100,16.87,86,35.2,1619829832
Bluff,NZ,-46.6,168.3333,85,5.01,74,54,1619829833
Mahébourg,MU,-20.4081,57.7,75,13.8,78,77,1619829833
Trat,TH,12.5,102.5,42,1.83,99,84.99,1619829834
Barrow,US,71.2906,-156.7887,90,4.61,79,21.2,1619829834
Saskylakh,RU,71.9167,114.0833,100,7.23,92,31.96,1619829834
Qeshm,IR,26.9581,56.2719,40,4.61,68,75.2,1619829835
Hilton Head,US,32.2163,-80.7526,75,9.22,34,80.6,1619829835
Arraial do Cabo,BR,-22.9661,-42.0278,28,9.28,64,72.19,1619829836
Chelyabinsk,RU,55.1544,61.4297,0,2.24,64,30.2,1619829562
Airai,TL,-8.9266,125.4092,74,3.89,52,70.56,1619829836
Waipawa,NZ,-41.4122,175.5153,90,18.41,67,57,1619829837
Hithadhoo,MV,-0.6,73.0833,98,6.73,72,83.91,1619829837
Lebu,CL,-37.6167,-73.65,100,21.85,92,56.43,1619829838
Dikson,RU,73.5069,80.5464,99,7.61,96,16.39,1619829838
Susanville,US,40.4163,-120.653,1,12.66,8,80.6,1619829838
Kapaa,US,22.0752,-159.319,90,8.05,78,75.99,1619829839
Mataura,NZ,-46.1927,168.8643,48,5.01,74,54,1619829839
Jamestown,US,42.097,-79.2353,90,14.97,56,41,1619829840
Cayenne,GF,4.9333,-52.3333,75,10.47,100,78.01,1619829840
Namatanai,PG,-3.6667,152.4333,59,0.81,66,84.92,1619829841
Thompson,CA,55.7435,-97.8558,90,5.75,100,32,1619829580
Laguna,US,38.421,-121.4238,1,8.05,18,84.2,1619829842
Ponta do Sol,PT,32.6667,-17.1,100,3,57,59,1619829842
Bonavista,CA,48.6499,-53.1147,100,1.14,81,39.2,1619829843
Menongue,AO,-14.6585,17.691,93,1.52,89,61.77,1619829843
San Quintín,MX,30.4833,-115.95,0,13.15,59,69.82,1619829844
Eyl,SO,7.9803,49.8164,100,4.18,74,82.11,1619829844
Vitim,RU,59.4511,112.5578,100,2.39,78,37.94,1619829845
Cidreira,BR,-30.1811,-50.2056,0,17.31,72,68.83,1619829845
Constitución,CL,-35.3333,-72.4167,100,11.25,85,57,1619829845
Codrington,AU,-38.2667,141.9667,100,15.32,41,70.32,1619829846
Shahr-e Bābak,IR,30.1165,55.1186,99,3,58,57.33,1619829846
Porto Walter,BR,-8.2686,-72.7439,11,0.65,82,71.8,1619829846
Cape Town,ZA,-33.9258,18.4232,0,9.22,82,57.99,1619829585
Qaanaaq,GL,77.484,-69.3632,100,7.2,60,29.93,1619829847
Zhanakorgan,KZ,43.9098,67.2495,100,17.11,44,55.35,1619829848
Saint-Augustin,CA,51.226,-58.6502,100,18.32,83,39.76,1619829848
Camaná,PE,-16.6228,-72.7111,63,6.76,82,66.72,1619829848
Reshetylivka,UA,49.565,34.0782,100,8.05,83,53.85,1619829849
Tongliao,CN,43.6125,122.2653,100,12.75,25,53.56,1619829849
Leningradskiy,RU,69.3833,178.4167,100,23.94,92,19.17,1619829850
Salinas,US,36.6777,-121.6555,20,17.27,63,61,1619829644
Atasū,KZ,48.6814,71.6433,3,7.58,50,44.29,1619829850
Tuktoyaktuk,CA,69.4541,-133.0374,20,10.36,80,23,1619829851
Adrar,MR,20.5022,-10.0711,100,3.33,42,77.99,1619829851
Río Gallegos,AR,-51.6226,-69.2181,0,11.5,93,41,1619829696
Fortuna,US,40.5982,-124.1573,20,12.66,94,60.01,1619829852
Avera,US,33.194,-82.5271,1,5.75,46,69.8,1619829852
Inírida,CO,3.8653,-67.9239,87,2.68,99,70.95,1619829852
Bud,US,39.447,-86.1758,1,10.36,43,53.6,1619829853
Sørland,NO,67.667,12.6934,100,11.83,60,35.6,1619829853
Batagay-Alyta,RU,67.8006,130.4114,100,4.41,87,28.02,1619829853
Sergeevka,KZ,53.88,67.4158,6,8.32,61,39.02,1619829854
Tivaouane,SN,14.9515,-16.8129,0,16.11,88,68,1619829854
Hong Kong,HK,22.2855,114.1577,98,2.55,83,78.01,1619829682
Bechem,GH,7.0903,-2.025,61,3.56,91,73.44,1619829855
Puerto Ayora,EC,-0.7393,-90.3518,1,7.85,81,74.68,1619829855
Guerrero Negro,MX,27.9769,-114.0611,0,17.83,43,74.23,1619829856
